# AOB specificity baseline — regenerate with:
#   py tools/pe/aob_specificity.py --tsv out/sweep/patterns.tsv \
#      --baseline tools/pe/aob-specificity-baseline.tsv --update-baseline
# A DIFF HERE IS THE POINT. It means a pattern's noise profile changed, or a
# new pattern landed without anyone looking at its specificity. Both deserve a
# human. Never regenerate to make CI green without reading the diff first —
# `bound` rising is a pattern getting noisier.
# NOTE: `verdict` CLEAR means "this window is ABSENT from the index", i.e.
# never observed — NOT "measured to be rare". See aob-block-library-eval.md §7.
id	target	bound	verdict
GWLD_GH_2	GWorld	128	UNPROVEN
GWLD_GH_3	GWorld	1024	UNPROVEN
GWLD_GH_4	GWorld	15	CLEAR
GWLD_SAT422_1	GWorld	512	UNPROVEN
GWLD_SAT422_2	GWorld	15	CLEAR
GWLD_SAT425_1	GWorld	512	UNPROVEN
GWLD_SAT425_2	GWorld	16384	UNPROVEN
GWLD_SAT425_3	GWorld	-	NO-ANCHOR
GWLD_SAT426_1	GWorld	-	NO-ANCHOR
GWLD_SAT426_2	GWorld	-	NO-ANCHOR
GWLD_SAT52_1	GWorld	262144	UNPROVEN
GWLD_SAT52_2	GWorld	-	NO-ANCHOR
GWLD_SF_1	GWorld	15	CLEAR
GWLD_SF_2	GWorld	65536	UNPROVEN
GWLD_SF_3	GWorld	-	NO-ANCHOR
GWLD_SF_4	GWorld	262144	UNPROVEN
GWLD_SF_5	GWorld	15	CLEAR
GWLD_SP57_1	GWorld	15	CLEAR
GWLD_SP57_2	GWorld	15	CLEAR
GWLD_SP57_3	GWorld	2048	UNPROVEN
GWLD_SP57_4	GWorld	15	CLEAR
GWLD_TQ_1	GWorld	512	UNPROVEN
GWLD_TQ_2	GWorld	-	NO-ANCHOR
GWLD_TQ_3	GWorld	1024	UNPROVEN
GWLD_TQ_4	GWorld	-	NO-ANCHOR
GWLD_V1	GWorld	15	CLEAR
GWLD_V3	GWorld	-	NO-ANCHOR
GWLD_V7	GWorld	15	CLEAR
SPARSE_AV53_1	SparseDelegates	15	CLEAR
SPARSE_DI427_1	SparseDelegates	8192	UNPROVEN
SPARSE_DI427_2	SparseDelegates	8192	UNPROVEN
SPARSE_ES2_1	SparseDelegates	-	NO-ANCHOR
SPARSE_MEL55_1	SparseDelegates	15	CLEAR
SPARSE_PAL51_1	SparseDelegates	15	CLEAR
SPARSE_SP57_1	SparseDelegates	64	UNPROVEN
SPARSE_SP57_2	SparseDelegates	15	CLEAR
SPARSE_X1	SparseDelegates	-	NO-ANCHOR
SPARSE_X2	SparseDelegates	-	NO-ANCHOR
