# proxy-export-baseline.tsv -- the real System32 export tables that each
# dll/src/Proxy*.def pins its @ordinals against.
#
# GENERATED by `py tools/check_proxy_exports.py --refresh`. Do not hand-edit: the
# whole point is that the ordinal map is re-derived from the OS rather than typed.
#
# Committed rather than read live in CI because these tables vary by Windows build
# (dxgi especially), and a runner whose System32 differs from the maintainer's must
# not redden an unrelated PR. `--verify-system` re-checks this file against the
# machine it runs on; `--refresh` rewrites it. A name here that a given Windows
# lacks is fine (we simply forward one export nobody calls); the reverse is not.
#
# *NONAME* marks an ordinal the real DLL exports WITHOUT a name. Those are deliberately
# not forwarded (we cannot name them), which leaves a NULL EAT slot -- so an ordinal
# import of one fails loudly with STATUS_ORDINAL_NOT_FOUND instead of misbinding.
#!measured-on Windows 10.0.26200
proxy	ordinal	name
ProxyVersion	3	GetFileVersionInfoExA
ProxyVersion	4	GetFileVersionInfoExW
ProxyVersion	5	GetFileVersionInfoSizeA
ProxyVersion	6	GetFileVersionInfoSizeExA
ProxyVersion	7	GetFileVersionInfoSizeExW
ProxyVersion	8	GetFileVersionInfoSizeW
ProxyVersion	9	GetFileVersionInfoW
ProxyVersion	10	VerFindFileA
ProxyVersion	11	VerFindFileW
ProxyVersion	12	VerInstallFileA
ProxyVersion	13	VerInstallFileW
ProxyVersion	14	VerLanguageNameA
ProxyVersion	15	VerLanguageNameW
ProxyVersion	16	VerQueryValueA
ProxyVersion	17	VerQueryValueW
ProxyWinmm	2	*NONAME*
ProxyWinmm	3	mciExecute
ProxyWinmm	4	CloseDriver
ProxyWinmm	5	DefDriverProc
ProxyWinmm	6	DriverCallback
ProxyWinmm	7	DrvGetModuleHandle
ProxyWinmm	8	GetDriverModuleHandle
ProxyWinmm	9	OpenDriver
ProxyWinmm	10	PlaySound
ProxyWinmm	11	PlaySoundA
ProxyWinmm	12	PlaySoundW
ProxyWinmm	13	SendDriverMessage
ProxyWinmm	14	WOWAppExit
ProxyWinmm	15	auxGetDevCapsA
ProxyWinmm	16	auxGetDevCapsW
ProxyWinmm	17	auxGetNumDevs
ProxyWinmm	18	auxGetVolume
ProxyWinmm	19	auxOutMessage
ProxyWinmm	20	auxSetVolume
ProxyWinmm	21	joyConfigChanged
ProxyWinmm	22	joyGetDevCapsA
ProxyWinmm	23	joyGetDevCapsW
ProxyWinmm	24	joyGetNumDevs
ProxyWinmm	25	joyGetPos
ProxyWinmm	26	joyGetPosEx
ProxyWinmm	27	joyGetThreshold
ProxyWinmm	28	joyReleaseCapture
ProxyWinmm	29	joySetCapture
ProxyWinmm	30	joySetThreshold
ProxyWinmm	31	mciDriverNotify
ProxyWinmm	32	mciDriverYield
ProxyWinmm	33	mciFreeCommandResource
ProxyWinmm	34	mciGetCreatorTask
ProxyWinmm	35	mciGetDeviceIDA
ProxyWinmm	36	mciGetDeviceIDFromElementIDA
ProxyWinmm	37	mciGetDeviceIDFromElementIDW
ProxyWinmm	38	mciGetDeviceIDW
ProxyWinmm	39	mciGetDriverData
ProxyWinmm	40	mciGetErrorStringA
ProxyWinmm	41	mciGetErrorStringW
ProxyWinmm	42	mciGetYieldProc
ProxyWinmm	43	mciLoadCommandResource
ProxyWinmm	44	mciSendCommandA
ProxyWinmm	45	mciSendCommandW
ProxyWinmm	46	mciSendStringA
ProxyWinmm	47	mciSendStringW
ProxyWinmm	48	mciSetDriverData
ProxyWinmm	49	mciSetYieldProc
ProxyWinmm	50	midiConnect
ProxyWinmm	51	midiDisconnect
ProxyWinmm	52	midiInAddBuffer
ProxyWinmm	53	midiInClose
ProxyWinmm	54	midiInGetDevCapsA
ProxyWinmm	55	midiInGetDevCapsW
ProxyWinmm	56	midiInGetErrorTextA
ProxyWinmm	57	midiInGetErrorTextW
ProxyWinmm	58	midiInGetID
ProxyWinmm	59	midiInGetNumDevs
ProxyWinmm	60	midiInMessage
ProxyWinmm	61	midiInOpen
ProxyWinmm	62	midiInPrepareHeader
ProxyWinmm	63	midiInReset
ProxyWinmm	64	midiInStart
ProxyWinmm	65	midiInStop
ProxyWinmm	66	midiInUnprepareHeader
ProxyWinmm	67	midiOutCacheDrumPatches
ProxyWinmm	68	midiOutCachePatches
ProxyWinmm	69	midiOutClose
ProxyWinmm	70	midiOutGetDevCapsA
ProxyWinmm	71	midiOutGetDevCapsW
ProxyWinmm	72	midiOutGetErrorTextA
ProxyWinmm	73	midiOutGetErrorTextW
ProxyWinmm	74	midiOutGetID
ProxyWinmm	75	midiOutGetNumDevs
ProxyWinmm	76	midiOutGetVolume
ProxyWinmm	77	midiOutLongMsg
ProxyWinmm	78	midiOutMessage
ProxyWinmm	79	midiOutOpen
ProxyWinmm	80	midiOutPrepareHeader
ProxyWinmm	81	midiOutReset
ProxyWinmm	82	midiOutSetVolume
ProxyWinmm	83	midiOutShortMsg
ProxyWinmm	84	midiOutUnprepareHeader
ProxyWinmm	85	midiStreamClose
ProxyWinmm	86	midiStreamOpen
ProxyWinmm	87	midiStreamOut
ProxyWinmm	88	midiStreamPause
ProxyWinmm	89	midiStreamPosition
ProxyWinmm	90	midiStreamProperty
ProxyWinmm	91	midiStreamRestart
ProxyWinmm	92	midiStreamStop
ProxyWinmm	93	mixerClose
ProxyWinmm	94	mixerGetControlDetailsA
ProxyWinmm	95	mixerGetControlDetailsW
ProxyWinmm	96	mixerGetDevCapsA
ProxyWinmm	97	mixerGetDevCapsW
ProxyWinmm	98	mixerGetID
ProxyWinmm	99	mixerGetLineControlsA
ProxyWinmm	100	mixerGetLineControlsW
ProxyWinmm	101	mixerGetLineInfoA
ProxyWinmm	102	mixerGetLineInfoW
ProxyWinmm	103	mixerGetNumDevs
ProxyWinmm	104	mixerMessage
ProxyWinmm	105	mixerOpen
ProxyWinmm	106	mixerSetControlDetails
ProxyWinmm	107	mmDrvInstall
ProxyWinmm	108	mmGetCurrentTask
ProxyWinmm	109	mmTaskBlock
ProxyWinmm	110	mmTaskCreate
ProxyWinmm	111	mmTaskSignal
ProxyWinmm	112	mmTaskYield
ProxyWinmm	113	mmioAdvance
ProxyWinmm	114	mmioAscend
ProxyWinmm	115	mmioClose
ProxyWinmm	116	mmioCreateChunk
ProxyWinmm	117	mmioDescend
ProxyWinmm	118	mmioFlush
ProxyWinmm	119	mmioGetInfo
ProxyWinmm	120	mmioInstallIOProcA
ProxyWinmm	121	mmioInstallIOProcW
ProxyWinmm	122	mmioOpenA
ProxyWinmm	123	mmioOpenW
ProxyWinmm	124	mmioRead
ProxyWinmm	125	mmioRenameA
ProxyWinmm	126	mmioRenameW
ProxyWinmm	127	mmioSeek
ProxyWinmm	128	mmioSendMessage
ProxyWinmm	129	mmioSetBuffer
ProxyWinmm	130	mmioSetInfo
ProxyWinmm	131	mmioStringToFOURCCA
ProxyWinmm	132	mmioStringToFOURCCW
ProxyWinmm	133	mmioWrite
ProxyWinmm	134	mmsystemGetVersion
ProxyWinmm	135	sndPlaySoundA
ProxyWinmm	136	sndPlaySoundW
ProxyWinmm	137	timeBeginPeriod
ProxyWinmm	138	timeEndPeriod
ProxyWinmm	139	timeGetDevCaps
ProxyWinmm	140	timeGetSystemTime
ProxyWinmm	141	timeGetTime
ProxyWinmm	142	timeKillEvent
ProxyWinmm	143	timeSetEvent
ProxyWinmm	144	waveInAddBuffer
ProxyWinmm	145	waveInClose
ProxyWinmm	146	waveInGetDevCapsA
ProxyWinmm	147	waveInGetDevCapsW
ProxyWinmm	148	waveInGetErrorTextA
ProxyWinmm	149	waveInGetErrorTextW
ProxyWinmm	150	waveInGetID
ProxyWinmm	151	waveInGetNumDevs
ProxyWinmm	152	waveInGetPosition
ProxyWinmm	153	waveInMessage
ProxyWinmm	154	waveInOpen
ProxyWinmm	155	waveInPrepareHeader
ProxyWinmm	156	waveInReset
ProxyWinmm	157	waveInStart
ProxyWinmm	158	waveInStop
ProxyWinmm	159	waveInUnprepareHeader
ProxyWinmm	160	waveOutBreakLoop
ProxyWinmm	161	waveOutClose
ProxyWinmm	162	waveOutGetDevCapsA
ProxyWinmm	163	waveOutGetDevCapsW
ProxyWinmm	164	waveOutGetErrorTextA
ProxyWinmm	165	waveOutGetErrorTextW
ProxyWinmm	166	waveOutGetID
ProxyWinmm	167	waveOutGetNumDevs
ProxyWinmm	168	waveOutGetPitch
ProxyWinmm	169	waveOutGetPlaybackRate
ProxyWinmm	170	waveOutGetPosition
ProxyWinmm	171	waveOutGetVolume
ProxyWinmm	172	waveOutMessage
ProxyWinmm	173	waveOutOpen
ProxyWinmm	174	waveOutPause
ProxyWinmm	175	waveOutPrepareHeader
ProxyWinmm	176	waveOutReset
ProxyWinmm	177	waveOutRestart
ProxyWinmm	178	waveOutSetPitch
ProxyWinmm	179	waveOutSetPlaybackRate
ProxyWinmm	180	waveOutSetVolume
ProxyWinmm	181	waveOutUnprepareHeader
ProxyWinmm	182	waveOutWrite
