# Generated by tools/ghidra/build_corpus_manifest.py — DO NOT HAND-EDIT.
# Grain: one row per (sweep TAG, Ghidra program). TAG is the join key to sweep.sh.
# Verify coverage with: py tools/ghidra/preflight.py   (drift = exit 2/3)
TAG	ROLE	PROJECT	REP	PROGRAM	SELECTED	ACQUISITION	STEAM_APPID	STEAM_INSTALLDIR	STEAM_LIB_TODAY	STEAM_GB	BINARY_STATE	PATH_TODAY	GHIDRA_PATH	RECORDED_MD5	PDB	REP_GB	NOTE
UE5.7.4-StackOBot	ORACLE	StackOBot_Shipping_UE574	YES	StackOBot-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.7\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	<CORPUS>\Varies Version builds\5.7\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	a3210d8989fa95bf33fdc691b2c090a3	YES	4.05	-
UE5.8-StackOBot	ORACLE	StackOBot_Shipping_UE58	YES	StackOBot-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	03a2c57f56f617d6bdaf508d56a740bf	YES	4.44	-
UE5.8.1-StackOBot	ORACLE	StackOBot_Shipping_UE581	YES	StackOBot-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Shipping_581\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Shipping_581\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	a906f263eccb07543b0894ff9aea47f5	YES	4.29	-
UE5.8.1-StackOBotDev	ORACLE	StackOBot_Development_UE581	YES	StackOBot.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Development\Windows\StackOBot\Binaries\Win64\StackOBot.exe	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\Development\Windows\StackOBot\Binaries\Win64\StackOBot.exe	5b131ac706d63fbeb233fbc1f46f4758	YES	7.47	-
UE5.7.4-StackOBotDbgGame	ORACLE	StackOBot_DebugGame_UE574	YES	StackOBot-Win64-DebugGame.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.7\Stack_O_Bot\DebugGame\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-DebugGame.exe	<CORPUS>\Varies Version builds\5.7\Stack_O_Bot\DebugGame\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-DebugGame.exe	062eb252c6e81a6f1ea2779e996e0264	YES	0.93	-
UE5.8-StackOBotDbgGame	ORACLE	StackOBot_DebugGame_UE58	YES	StackOBot-Win64-DebugGame.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\DebugGame\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-DebugGame.exe	<CORPUS>\Varies Version builds\5.8\Stack_O_Bot\DebugGame\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-DebugGame.exe	50d93a1a3861f1a5a23c4bdf82c8bee7	YES	1.01	-
UE5.8-TitanDbgGame	ORACLE	Titan_DebugGame_UE58	YES	Titan-Win64-DebugGame.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\5.8\Binaries_DebugGame\Win64\Titan-Win64-DebugGame.exe	<CORPUS>\Varies Version builds\5.8\Binaries_DebugGame\Win64\Titan-Win64-DebugGame.exe	4d168828d77a545998f42b536989458e	YES	1.06	-
UE4.18-FF7R	ORACLE	FF7R	YES	ff7remake_.exe	yes	STEAM	1462040	FINAL FANTASY VII REMAKE	NOT-INSTALLED	-	GONE	-	<STEAMLIB>\steamapps\common\FINAL FANTASY VII REMAKE\End\Binaries\Win64\ff7remake_.exe	3ea9092f78c168a8a2e165f28c72bb93	UNKNOWN	1.73	-
UE5.1-Grimhook	ORACLE	Grimhook	YES	Grimhook-Win64-Shipping.exe	yes	STEAM	2667430	Grimhook	<STEAMLIB>	1.4	MATCH	<STEAMLIB>\steamapps\common\Grimhook\Grimhook\Binaries\Win64\Grimhook-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\Grimhook\Grimhook\Binaries\Win64\Grimhook-Win64-Shipping.exe	aec276fa6110cb944d1be980b894b596	YES	2.79	-
UE4.11-Nekopara	ORACLE	NEKOPALIVE_UE411	YES	Nekopara.exe	yes	STEAM	469990	NEKOPALIVE	<STEAMLIB>	0.4	MATCH	<STEAMLIB>\steamapps\common\NEKOPALIVE\Package\Nekopara\Binaries\Win64\Nekopara.exe	<STEAMLIB>\steamapps\common\NEKOPALIVE\Package\Nekopara\Binaries\Win64\Nekopara.exe	cfdcb9522f1d6b7cd80deb6dde31f279	NO	1.15	-
UE4.13-Fantasynth	ORACLE	Fantasynth_UE413	YES	Fantasynth-Win64-Shipping.exe	yes	STEAM	624460	Fantasynth	<STEAMLIB>	0.4	MATCH	<STEAMLIB>\steamapps\common\Fantasynth\Fantasynth\Binaries\Win64\Fantasynth-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\Fantasynth\Fantasynth\Binaries\Win64\Fantasynth-Win64-Shipping.exe	632c5330a066c96477b53809a82d6fb6	NO	0.75	-
UE4.21-FreudGate	ORACLE	Freud_Gate_UE421	YES	FreudGate-Win64-Shipping.exe	yes	STEAM	1161270	Freud Gate	<STEAMLIB>	6.1	MATCH	<STEAMLIB>\steamapps\common\Freud Gate\FreudGate\Binaries\Win64\FreudGate-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\Freud Gate\FreudGate\Binaries\Win64\FreudGate-Win64-Shipping.exe	edb68a5521a225845ec889468b5efcfd	NO	1.38	-
UE5.0-LightMaze	ORACLE	Light_Maze	YES	LightMaze-Win64-Shipping.exe	yes	STEAM	2023910	Light Maze	<STEAMLIB>	0.2	MATCH	<STEAMLIB>\steamapps\common\Light Maze\LightMaze\Binaries\Win64\LightMaze-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\Light Maze\LightMaze\Binaries\Win64\LightMaze-Win64-Shipping.exe	c7e81c5978209af2dc0660b61c5bdf03	NO	1.34	-
UE4.27-DQ7R	ORACLE	DQ7R	YES	DQ7R-Win64-Shipping.exe	yes	STEAM	2499860	DQ7R	<STEAMLIB>	8.0	MATCH	<STEAMLIB>\steamapps\common\DQ7R\DQ7R\Binaries\Win64\DQ7R-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\DQ7R\DQ7R\Binaries\Win64\DQ7R-Win64-Shipping.exe	0258248483c4fce5b427e89d25780563	NO	3.89	-
UE5.4-Elliot	ORACLE	Elliot	YES	Elliot-Win64-Shipping.exe	yes	STEAM	3483510	The Adventures of Elliot_The Millennium Tales	<STEAMLIB>	17.2	MATCH	<STEAMLIB>\steamapps\common\The Adventures of Elliot_The Millennium Tales\Elliot\Binaries\Win64\Elliot-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\The Adventures of Elliot_The Millennium Tales\Elliot\Binaries\Win64\Elliot-Win64-Shipping.exe	793b10b0b6411aa6788d8057d66c4e03	NO	3.14	-
UE4.18-DQXIS	ORACLE	DQ_XI_S	YES	DRAGON QUEST XI S.exe	yes	STEAM	1295510	DRAGON QUEST XI S	<STEAMLIB>	30.3	MATCH	<STEAMLIB>\steamapps\common\DRAGON QUEST XI S\Game\Binaries\Win64\DRAGON QUEST XI S.exe	<STEAMLIB>\steamapps\common\DRAGON QUEST XI S\Game\Binaries\Win64\DRAGON QUEST XI S.exe	c19da2f7270cc82d790e2a084f2152bf	NO	1.55	-
UE4.27-Hogwarts	NOISE-PROBE	Hogwarts_Legacy	YES	HogwartsLegacy.exe	yes	STEAM	990080	Hogwarts Legacy	NOT-INSTALLED	-	GONE	-	<STEAMLIB>\steamapps\common\Hogwarts Legacy\Phoenix\Binaries\Win64\HogwartsLegacy.exe	fd1ab9ddf069ba2b25e1fbc2cf516d7a	UNKNOWN	3.65	-
UE4.x-FF7Rebirth	NOISE-PROBE	FF7Re	YES	ff7rebirth_.exe	yes	STEAM	2909400	FINAL FANTASY VII REBIRTH	NOT-INSTALLED	-	GONE	-	<STEAMLIB>\steamapps\common\FINAL FANTASY VII REBIRTH\End\Binaries\Win64\ff7rebirth_.exe	e44e4213e47037b8a497a832e41d2398	UNKNOWN	2.33	-
